"","year","length","value","groups","Length","Year"
"1",1990,15,0.000593062,"obs","15","1990"
"2",1990,16,0,"obs","16","1990"
"3",1990,17,0.000203262,"obs","17","1990"
"4",1990,18,0,"obs","18","1990"
"5",1990,19,0.000552235,"obs","19","1990"
"6",1990,20,0.000658135,"obs","20","1990"
"7",1990,21,0.00133371,"obs","21","1990"
"8",1990,22,0.00341561,"obs","22","1990"
"9",1990,23,0.00547085,"obs","23","1990"
"10",1990,24,0.0117859,"obs","24","1990"
"11",1990,25,0.0112706,"obs","25","1990"
"12",1990,26,0.0297387,"obs","26","1990"
"13",1990,27,0.0243408,"obs","27","1990"
"14",1990,28,0.01659,"obs","28","1990"
"15",1990,29,0.0171389,"obs","29","1990"
"16",1990,30,0.0127796,"obs","30","1990"
"17",1990,31,0.0223576,"obs","31","1990"
"18",1990,32,0.0381805,"obs","32","1990"
"19",1990,33,0.0899662,"obs","33","1990"
"20",1990,34,0.125642,"obs","34","1990"
"21",1990,35,0.138953,"obs","35","1990"
"22",1990,36,0.118236,"obs","36","1990"
"23",1990,37,0.101613,"obs","37","1990"
"24",1990,38,0.0747238,"obs","38","1990"
"25",1990,39,0.0616685,"obs","39","1990"
"26",1990,40,0.0294629,"obs","40","1990"
"27",1990,41,0.0272178,"obs","41","1990"
"28",1990,42,0.0172927,"obs","42","1990"
"29",1990,43,0.00685169,"obs","43","1990"
"30",1990,44,0.00561371,"obs","44","1990"
"31",1990,45,0.00634869,"obs","45","1990"
"32",1993,15,0.000127502,"obs","15","1993"
"33",1993,16,0.00027889,"obs","16","1993"
"34",1993,17,0.000663821,"obs","17","1993"
"35",1993,18,0.00110099,"obs","18","1993"
"36",1993,19,0.000552215,"obs","19","1993"
"37",1993,20,0.000486746,"obs","20","1993"
"38",1993,21,0.000647096,"obs","21","1993"
"39",1993,22,0.00154458,"obs","22","1993"
"40",1993,23,0.00260802,"obs","23","1993"
"41",1993,24,0.0032662,"obs","24","1993"
"42",1993,25,0.00655339,"obs","25","1993"
"43",1993,26,0.00527833,"obs","26","1993"
"44",1993,27,0.00683184,"obs","27","1993"
"45",1993,28,0.00776173,"obs","28","1993"
"46",1993,29,0.00694753,"obs","29","1993"
"47",1993,30,0.0122183,"obs","30","1993"
"48",1993,31,0.0145814,"obs","31","1993"
"49",1993,32,0.0410703,"obs","32","1993"
"50",1993,33,0.055244,"obs","33","1993"
"51",1993,34,0.090737,"obs","34","1993"
"52",1993,35,0.146674,"obs","35","1993"
"53",1993,36,0.161237,"obs","36","1993"
"54",1993,37,0.123143,"obs","37","1993"
"55",1993,38,0.104683,"obs","38","1993"
"56",1993,39,0.064908,"obs","39","1993"
"57",1993,40,0.0532067,"obs","40","1993"
"58",1993,41,0.0383204,"obs","41","1993"
"59",1993,42,0.0231133,"obs","42","1993"
"60",1993,43,0.012285,"obs","43","1993"
"61",1993,44,0.0081851,"obs","44","1993"
"62",1993,45,0.00574491,"obs","45","1993"
"63",1996,15,0.000410652,"obs","15","1996"
"64",1996,16,0.000321227,"obs","16","1996"
"65",1996,17,0.000769829,"obs","17","1996"
"66",1996,18,0.000987511,"obs","18","1996"
"67",1996,19,0.000532605,"obs","19","1996"
"68",1996,20,0.000910565,"obs","20","1996"
"69",1996,21,0.000730654,"obs","21","1996"
"70",1996,22,0.00210648,"obs","22","1996"
"71",1996,23,0.00230807,"obs","23","1996"
"72",1996,24,0.00200161,"obs","24","1996"
"73",1996,25,0.00312282,"obs","25","1996"
"74",1996,26,0.00698527,"obs","26","1996"
"75",1996,27,0.00821016,"obs","27","1996"
"76",1996,28,0.00551906,"obs","28","1996"
"77",1996,29,0.00802584,"obs","29","1996"
"78",1996,30,0.00903588,"obs","30","1996"
"79",1996,31,0.0159874,"obs","31","1996"
"80",1996,32,0.0203311,"obs","32","1996"
"81",1996,33,0.0266953,"obs","33","1996"
"82",1996,34,0.0341475,"obs","34","1996"
"83",1996,35,0.0594602,"obs","35","1996"
"84",1996,36,0.121278,"obs","36","1996"
"85",1996,37,0.117794,"obs","37","1996"
"86",1996,38,0.135098,"obs","38","1996"
"87",1996,39,0.118568,"obs","39","1996"
"88",1996,40,0.0949332,"obs","40","1996"
"89",1996,41,0.0926107,"obs","41","1996"
"90",1996,42,0.0522371,"obs","42","1996"
"91",1996,43,0.0318683,"obs","43","1996"
"92",1996,44,0.018526,"obs","44","1996"
"93",1996,45,0.00848706,"obs","45","1996"
"94",1999,15,0.000157686,"obs","15","1999"
"95",1999,16,0.000233261,"obs","16","1999"
"96",1999,17,0.00013125,"obs","17","1999"
"97",1999,18,0.000476442,"obs","18","1999"
"98",1999,19,0.000674832,"obs","19","1999"
"99",1999,20,0.000784513,"obs","20","1999"
"100",1999,21,0.00119172,"obs","21","1999"
"101",1999,22,0.00168782,"obs","22","1999"
"102",1999,23,0.00338608,"obs","23","1999"
"103",1999,24,0.00179762,"obs","24","1999"
"104",1999,25,0.00216329,"obs","25","1999"
"105",1999,26,0.00606612,"obs","26","1999"
"106",1999,27,0.00196639,"obs","27","1999"
"107",1999,28,0.00563203,"obs","28","1999"
"108",1999,29,0.00182684,"obs","29","1999"
"109",1999,30,0.00256298,"obs","30","1999"
"110",1999,31,0.00232319,"obs","31","1999"
"111",1999,32,0.0267781,"obs","32","1999"
"112",1999,33,0.0309122,"obs","33","1999"
"113",1999,34,0.035407,"obs","34","1999"
"114",1999,35,0.0538331,"obs","35","1999"
"115",1999,36,0.0777479,"obs","36","1999"
"116",1999,37,0.128249,"obs","37","1999"
"117",1999,38,0.183901,"obs","38","1999"
"118",1999,39,0.126698,"obs","39","1999"
"119",1999,40,0.110111,"obs","40","1999"
"120",1999,41,0.093717,"obs","41","1999"
"121",1999,42,0.0472431,"obs","42","1999"
"122",1999,43,0.0380402,"obs","43","1999"
"123",1999,44,0.0113078,"obs","44","1999"
"124",1999,45,0.00299245,"obs","45","1999"
"125",2001,15,0.000322127,"obs","15","2001"
"126",2001,16,0.000661316,"obs","16","2001"
"127",2001,17,0.000417196,"obs","17","2001"
"128",2001,18,0.00268523,"obs","18","2001"
"129",2001,19,0.00245622,"obs","19","2001"
"130",2001,20,0.0015148,"obs","20","2001"
"131",2001,21,0.00149714,"obs","21","2001"
"132",2001,22,0.00164241,"obs","22","2001"
"133",2001,23,0.00123679,"obs","23","2001"
"134",2001,24,0.00201607,"obs","24","2001"
"135",2001,25,0.00190915,"obs","25","2001"
"136",2001,26,0.00393809,"obs","26","2001"
"137",2001,27,0.00491074,"obs","27","2001"
"138",2001,28,0.00797422,"obs","28","2001"
"139",2001,29,0.00513707,"obs","29","2001"
"140",2001,30,0.00953669,"obs","30","2001"
"141",2001,31,0.0105617,"obs","31","2001"
"142",2001,32,0.0231682,"obs","32","2001"
"143",2001,33,0.0171753,"obs","33","2001"
"144",2001,34,0.0530374,"obs","34","2001"
"145",2001,35,0.0510252,"obs","35","2001"
"146",2001,36,0.121347,"obs","36","2001"
"147",2001,37,0.126852,"obs","37","2001"
"148",2001,38,0.16686,"obs","38","2001"
"149",2001,39,0.106109,"obs","39","2001"
"150",2001,40,0.115629,"obs","40","2001"
"151",2001,41,0.0554721,"obs","41","2001"
"152",2001,42,0.0624211,"obs","42","2001"
"153",2001,43,0.0181464,"obs","43","2001"
"154",2001,44,0.0087763,"obs","44","2001"
"155",2001,45,0.0155651,"obs","45","2001"
"156",2003,15,0.000353761,"obs","15","2003"
"157",2003,16,0,"obs","16","2003"
"158",2003,17,0.00018853,"obs","17","2003"
"159",2003,18,0,"obs","18","2003"
"160",2003,19,0.000536766,"obs","19","2003"
"161",2003,20,0.00109426,"obs","20","2003"
"162",2003,21,0.001256,"obs","21","2003"
"163",2003,22,0.00247718,"obs","22","2003"
"164",2003,23,0.00384865,"obs","23","2003"
"165",2003,24,0.00579537,"obs","24","2003"
"166",2003,25,0.00697796,"obs","25","2003"
"167",2003,26,0.0181141,"obs","26","2003"
"168",2003,27,0.0112102,"obs","27","2003"
"169",2003,28,0.0071957,"obs","28","2003"
"170",2003,29,0.00989403,"obs","29","2003"
"171",2003,30,0.0147976,"obs","30","2003"
"172",2003,31,0.0207492,"obs","31","2003"
"173",2003,32,0.0396464,"obs","32","2003"
"174",2003,33,0.064099,"obs","33","2003"
"175",2003,34,0.0767755,"obs","34","2003"
"176",2003,35,0.0630623,"obs","35","2003"
"177",2003,36,0.0782659,"obs","36","2003"
"178",2003,37,0.0706265,"obs","37","2003"
"179",2003,38,0.0994469,"obs","38","2003"
"180",2003,39,0.0948589,"obs","39","2003"
"181",2003,40,0.0815884,"obs","40","2003"
"182",2003,41,0.0698437,"obs","41","2003"
"183",2003,42,0.048713,"obs","42","2003"
"184",2003,43,0.0482986,"obs","43","2003"
"185",2003,44,0.0142241,"obs","44","2003"
"186",2003,45,0.0460614,"obs","45","2003"
"187",2005,15,4.70346e-05,"obs","15","2005"
"188",2005,16,0.000111551,"obs","16","2005"
"189",2005,17,0.000177515,"obs","17","2005"
"190",2005,18,1.32875e-05,"obs","18","2005"
"191",2005,19,4.47783e-05,"obs","19","2005"
"192",2005,20,0.000198894,"obs","20","2005"
"193",2005,21,0.000239999,"obs","21","2005"
"194",2005,22,0.000286177,"obs","22","2005"
"195",2005,23,0.000124175,"obs","23","2005"
"196",2005,24,0.0014564,"obs","24","2005"
"197",2005,25,0.000379637,"obs","25","2005"
"198",2005,26,0.00081842,"obs","26","2005"
"199",2005,27,0.00117965,"obs","27","2005"
"200",2005,28,0.00133444,"obs","28","2005"
"201",2005,29,0.0634923,"obs","29","2005"
"202",2005,30,0.0341422,"obs","30","2005"
"203",2005,31,0.0117434,"obs","31","2005"
"204",2005,32,0.0130615,"obs","32","2005"
"205",2005,33,0.0211406,"obs","33","2005"
"206",2005,34,0.025475,"obs","34","2005"
"207",2005,35,0.0314662,"obs","35","2005"
"208",2005,36,0.0520259,"obs","36","2005"
"209",2005,37,0.0554039,"obs","37","2005"
"210",2005,38,0.0890456,"obs","38","2005"
"211",2005,39,0.107034,"obs","39","2005"
"212",2005,40,0.117036,"obs","40","2005"
"213",2005,41,0.10799,"obs","41","2005"
"214",2005,42,0.0806874,"obs","42","2005"
"215",2005,43,0.0769043,"obs","43","2005"
"216",2005,44,0.0767457,"obs","44","2005"
"217",2005,45,0.030194,"obs","45","2005"
"218",2007,15,6.49579e-05,"obs","15","2007"
"219",2007,16,0,"obs","16","2007"
"220",2007,17,3.17271e-05,"obs","17","2007"
"221",2007,18,3.43913e-05,"obs","18","2007"
"222",2007,19,0.000102993,"obs","19","2007"
"223",2007,20,0,"obs","20","2007"
"224",2007,21,0.000102993,"obs","21","2007"
"225",2007,22,0.000167627,"obs","22","2007"
"226",2007,23,8.16408e-05,"obs","23","2007"
"227",2007,24,0.00041487,"obs","24","2007"
"228",2007,25,0.00202737,"obs","25","2007"
"229",2007,26,0.00229235,"obs","26","2007"
"230",2007,27,0.00606998,"obs","27","2007"
"231",2007,28,0.00215067,"obs","28","2007"
"232",2007,29,0.00639994,"obs","29","2007"
"233",2007,30,0.00334814,"obs","30","2007"
"234",2007,31,0.00719443,"obs","31","2007"
"235",2007,32,0.0177605,"obs","32","2007"
"236",2007,33,0.0380923,"obs","33","2007"
"237",2007,34,0.0618399,"obs","34","2007"
"238",2007,35,0.0699132,"obs","35","2007"
"239",2007,36,0.0836627,"obs","36","2007"
"240",2007,37,0.0926913,"obs","37","2007"
"241",2007,38,0.0898047,"obs","38","2007"
"242",2007,39,0.122656,"obs","39","2007"
"243",2007,40,0.131419,"obs","40","2007"
"244",2007,41,0.113101,"obs","41","2007"
"245",2007,42,0.0801154,"obs","42","2007"
"246",2007,43,0.0364671,"obs","43","2007"
"247",2007,44,0.0205793,"obs","44","2007"
"248",2007,45,0.0114132,"obs","45","2007"
"249",2009,15,0.000710908,"obs","15","2009"
"250",2009,16,0.00114299,"obs","16","2009"
"251",2009,17,0.000355454,"obs","17","2009"
"252",2009,18,0.00106452,"obs","18","2009"
"253",2009,19,0.000931648,"obs","19","2009"
"254",2009,20,0.000714106,"obs","20","2009"
"255",2009,21,0.000566707,"obs","21","2009"
"256",2009,22,0.000615057,"obs","22","2009"
"257",2009,23,0.00117002,"obs","23","2009"
"258",2009,24,0.000491658,"obs","24","2009"
"259",2009,25,0.00106104,"obs","25","2009"
"260",2009,26,0.00148229,"obs","26","2009"
"261",2009,27,0.00256835,"obs","27","2009"
"262",2009,28,0.0021525,"obs","28","2009"
"263",2009,29,0.00183656,"obs","29","2009"
"264",2009,30,0.00771829,"obs","30","2009"
"265",2009,31,0.00637638,"obs","31","2009"
"266",2009,32,0.0130917,"obs","32","2009"
"267",2009,33,0.0117779,"obs","33","2009"
"268",2009,34,0.032203,"obs","34","2009"
"269",2009,35,0.0396991,"obs","35","2009"
"270",2009,36,0.0562354,"obs","36","2009"
"271",2009,37,0.0815489,"obs","37","2009"
"272",2009,38,0.0944091,"obs","38","2009"
"273",2009,39,0.134907,"obs","39","2009"
"274",2009,40,0.126205,"obs","40","2009"
"275",2009,41,0.136681,"obs","41","2009"
"276",2009,42,0.102516,"obs","42","2009"
"277",2009,43,0.0670505,"obs","43","2009"
"278",2009,44,0.0389197,"obs","44","2009"
"279",2009,45,0.0337969,"obs","45","2009"
"280",2011,15,0,"obs","15","2011"
"281",2011,16,0,"obs","16","2011"
"282",2011,17,0.000121306,"obs","17","2011"
"283",2011,18,0.000125663,"obs","18","2011"
"284",2011,19,0.000125663,"obs","19","2011"
"285",2011,20,0.000369899,"obs","20","2011"
"286",2011,21,0.000125663,"obs","21","2011"
"287",2011,22,0.000376997,"obs","22","2011"
"288",2011,23,0.000750835,"obs","23","2011"
"289",2011,24,0.000125663,"obs","24","2011"
"290",2011,25,0.000236466,"obs","25","2011"
"291",2011,26,0.000406686,"obs","26","2011"
"292",2011,27,0.000251333,"obs","27","2011"
"293",2011,28,0.000535888,"obs","28","2011"
"294",2011,29,0.000170219,"obs","29","2011"
"295",2011,30,0.000148255,"obs","30","2011"
"296",2011,31,0.000703311,"obs","31","2011"
"297",2011,32,0.00181021,"obs","32","2011"
"298",2011,33,0.0036192,"obs","33","2011"
"299",2011,34,0.0148258,"obs","34","2011"
"300",2011,35,0.0123963,"obs","35","2011"
"301",2011,36,0.0183995,"obs","36","2011"
"302",2011,37,0.044214,"obs","37","2011"
"303",2011,38,0.061028,"obs","38","2011"
"304",2011,39,0.103106,"obs","39","2011"
"305",2011,40,0.139043,"obs","40","2011"
"306",2011,41,0.189942,"obs","41","2011"
"307",2011,42,0.144212,"obs","42","2011"
"308",2011,43,0.12744,"obs","43","2011"
"309",2011,44,0.062765,"obs","44","2011"
"310",2011,45,0.0726252,"obs","45","2011"
"311",2013,15,0,"obs","15","2013"
"312",2013,16,0,"obs","16","2013"
"313",2013,17,0,"obs","17","2013"
"314",2013,18,0,"obs","18","2013"
"315",2013,19,9.56691e-05,"obs","19","2013"
"316",2013,20,0,"obs","20","2013"
"317",2013,21,0,"obs","21","2013"
"318",2013,22,7.08676e-05,"obs","22","2013"
"319",2013,23,8.39877e-05,"obs","23","2013"
"320",2013,24,0.000119423,"obs","24","2013"
"321",2013,25,0.000670265,"obs","25","2013"
"322",2013,26,0.000682796,"obs","26","2013"
"323",2013,27,0.00131708,"obs","27","2013"
"324",2013,28,0.00100398,"obs","28","2013"
"325",2013,29,0.00126232,"obs","29","2013"
"326",2013,30,0.003819,"obs","30","2013"
"327",2013,31,0.00161524,"obs","31","2013"
"328",2013,32,0.00424212,"obs","32","2013"
"329",2013,33,0.00502861,"obs","33","2013"
"330",2013,34,0.0118459,"obs","34","2013"
"331",2013,35,0.0132541,"obs","35","2013"
"332",2013,36,0.0343865,"obs","36","2013"
"333",2013,37,0.0400746,"obs","37","2013"
"334",2013,38,0.115785,"obs","38","2013"
"335",2013,39,0.160362,"obs","39","2013"
"336",2013,40,0.152878,"obs","40","2013"
"337",2013,41,0.188999,"obs","41","2013"
"338",2013,42,0.135477,"obs","42","2013"
"339",2013,43,0.0803547,"obs","43","2013"
"340",2013,44,0.0286669,"obs","44","2013"
"341",2013,45,0.0179043,"obs","45","2013"
"342",2015,15,0,"obs","15","2015"
"343",2015,16,0,"obs","16","2015"
"344",2015,17,0,"obs","17","2015"
"345",2015,18,0.000929261,"obs","18","2015"
"346",2015,19,0,"obs","19","2015"
"347",2015,20,0,"obs","20","2015"
"348",2015,21,0,"obs","21","2015"
"349",2015,22,0.000480361,"obs","22","2015"
"350",2015,23,0,"obs","23","2015"
"351",2015,24,0,"obs","24","2015"
"352",2015,25,0.00232228,"obs","25","2015"
"353",2015,26,0.000960702,"obs","26","2015"
"354",2015,27,0.000743091,"obs","27","2015"
"355",2015,28,0.00420977,"obs","28","2015"
"356",2015,29,0.00209818,"obs","29","2015"
"357",2015,30,0.00214023,"obs","30","2015"
"358",2015,31,0.00572529,"obs","31","2015"
"359",2015,32,0.00715843,"obs","32","2015"
"360",2015,33,0.00853563,"obs","33","2015"
"361",2015,34,0.0125986,"obs","34","2015"
"362",2015,35,0.00701936,"obs","35","2015"
"363",2015,36,0.0250783,"obs","36","2015"
"364",2015,37,0.0528802,"obs","37","2015"
"365",2015,38,0.0982909,"obs","38","2015"
"366",2015,39,0.119812,"obs","39","2015"
"367",2015,40,0.165872,"obs","40","2015"
"368",2015,41,0.180229,"obs","41","2015"
"369",2015,42,0.123369,"obs","42","2015"
"370",2015,43,0.091253,"obs","43","2015"
"371",2015,44,0.0426375,"obs","44","2015"
"372",2015,45,0.0456564,"obs","45","2015"
"373",2017,15,0,"obs","15","2017"
"374",2017,16,8.47395e-05,"obs","16","2017"
"375",2017,17,0,"obs","17","2017"
"376",2017,18,0,"obs","18","2017"
"377",2017,19,0.000124543,"obs","19","2017"
"378",2017,20,0.000140406,"obs","20","2017"
"379",2017,21,0.000147725,"obs","21","2017"
"380",2017,22,0.000147725,"obs","22","2017"
"381",2017,23,0.000293872,"obs","23","2017"
"382",2017,24,0.000404247,"obs","24","2017"
"383",2017,25,0.00138391,"obs","25","2017"
"384",2017,26,0,"obs","26","2017"
"385",2017,27,0.00149106,"obs","27","2017"
"386",2017,28,0.00126269,"obs","28","2017"
"387",2017,29,0.000971979,"obs","29","2017"
"388",2017,30,0.00442062,"obs","30","2017"
"389",2017,31,0.00421632,"obs","31","2017"
"390",2017,32,0.00819467,"obs","32","2017"
"391",2017,33,0.0074201,"obs","33","2017"
"392",2017,34,0.00806245,"obs","34","2017"
"393",2017,35,0.013521,"obs","35","2017"
"394",2017,36,0.0164009,"obs","36","2017"
"395",2017,37,0.0324828,"obs","37","2017"
"396",2017,38,0.0462663,"obs","38","2017"
"397",2017,39,0.114551,"obs","39","2017"
"398",2017,40,0.134621,"obs","40","2017"
"399",2017,41,0.170267,"obs","41","2017"
"400",2017,42,0.150363,"obs","42","2017"
"401",2017,43,0.134715,"obs","43","2017"
"402",2017,44,0.0803057,"obs","44","2017"
"403",2017,45,0.0677392,"obs","45","2017"
"404",2019,15,0,"obs","15","2019"
"405",2019,16,0,"obs","16","2019"
"406",2019,17,0.000388397,"obs","17","2019"
"407",2019,18,0,"obs","18","2019"
"408",2019,19,0,"obs","19","2019"
"409",2019,20,0,"obs","20","2019"
"410",2019,21,0,"obs","21","2019"
"411",2019,22,0,"obs","22","2019"
"412",2019,23,0.000378319,"obs","23","2019"
"413",2019,24,0.000756637,"obs","24","2019"
"414",2019,25,0.0010883,"obs","25","2019"
"415",2019,26,0.00206443,"obs","26","2019"
"416",2019,27,0.0012932,"obs","27","2019"
"417",2019,28,0.00378109,"obs","28","2019"
"418",2019,29,0.00160291,"obs","29","2019"
"419",2019,30,0.0039761,"obs","30","2019"
"420",2019,31,0.00472406,"obs","31","2019"
"421",2019,32,0.00935056,"obs","32","2019"
"422",2019,33,0.0189316,"obs","33","2019"
"423",2019,34,0.0184792,"obs","34","2019"
"424",2019,35,0.022758,"obs","35","2019"
"425",2019,36,0.0398618,"obs","36","2019"
"426",2019,37,0.058931,"obs","37","2019"
"427",2019,38,0.0810163,"obs","38","2019"
"428",2019,39,0.149186,"obs","39","2019"
"429",2019,40,0.198249,"obs","40","2019"
"430",2019,41,0.172335,"obs","41","2019"
"431",2019,42,0.106486,"obs","42","2019"
"432",2019,43,0.0662072,"obs","43","2019"
"433",2019,44,0.0251361,"obs","44","2019"
"434",2019,45,0.0130198,"obs","45","2019"
"435",2021,15,0,"obs","15","2021"
"436",2021,16,0.000206745,"obs","16","2021"
"437",2021,17,0,"obs","17","2021"
"438",2021,18,0,"obs","18","2021"
"439",2021,19,0.000833257,"obs","19","2021"
"440",2021,20,0,"obs","20","2021"
"441",2021,21,0.000419777,"obs","21","2021"
"442",2021,22,0.00125933,"obs","22","2021"
"443",2021,23,0,"obs","23","2021"
"444",2021,24,0.0016791,"obs","24","2021"
"445",2021,25,0.00209888,"obs","25","2021"
"446",2021,26,0.0016791,"obs","26","2021"
"447",2021,27,0.00410651,"obs","27","2021"
"448",2021,28,0.00282131,"obs","28","2021"
"449",2021,29,0.00260351,"obs","29","2021"
"450",2021,30,0.00686965,"obs","30","2021"
"451",2021,31,0.00683743,"obs","31","2021"
"452",2021,32,0.0112942,"obs","32","2021"
"453",2021,33,0.00620592,"obs","33","2021"
"454",2021,34,0.0177351,"obs","34","2021"
"455",2021,35,0.0237063,"obs","35","2021"
"456",2021,36,0.0365772,"obs","36","2021"
"457",2021,37,0.0413135,"obs","37","2021"
"458",2021,38,0.0612611,"obs","38","2021"
"459",2021,39,0.0905939,"obs","39","2021"
"460",2021,40,0.136865,"obs","40","2021"
"461",2021,41,0.160723,"obs","41","2021"
"462",2021,42,0.153869,"obs","42","2021"
"463",2021,43,0.127874,"obs","43","2021"
"464",2021,44,0.0655558,"obs","44","2021"
"465",2021,45,0.0350116,"obs","45","2021"
